ICD-10-CM,description,dx_broad,Diagnosis,Sheet 
C12,Malignant neoplasm of pyriform sinus,cancer,Non CNS Cancer,CCS 2015 -> ICD-80
C130,Malignant neoplasm of postcricoid region,cancer,Non CNS Cancer,CCS 2015 -> ICD-81
C131,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",cancer,Non CNS Cancer,CCS 2015 -> ICD-82
C132,Malignant neoplasm of posterior wall of hypopharynx,cancer,Non CNS Cancer,CCS 2015 -> ICD-83
C138,Malignant neoplasm of overlapping sites of hypopharynx,cancer,Non CNS Cancer,CCS 2015 -> ICD-84
C139,"Malignant neoplasm of hypopharynx, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-85
C140,"Malignant neoplasm of pharynx, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-86
C142,Malignant neoplasm of Waldeyer's ring,cancer,Non CNS Cancer,CCS 2015 -> ICD-87
C148,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",cancer,Non CNS Cancer,CCS 2015 -> ICD-88
C148,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",cancer,Non CNS Cancer,CCS 2015 -> ICD-89
C153,Malignant neoplasm of upper third of esophagus,cancer,Non CNS Cancer,CCS 2015 -> ICD-90
C153,Malignant neoplasm of upper third of esophagus,cancer,Non CNS Cancer,CCS 2015 -> ICD-91
C154,Malignant neoplasm of middle third of esophagus,cancer,Non CNS Cancer,CCS 2015 -> ICD-92
C154,Malignant neoplasm of middle third of esophagus,cancer,Non CNS Cancer,CCS 2015 -> ICD-93
C155,Malignant neoplasm of lower third of esophagus,cancer,Non CNS Cancer,CCS 2015 -> ICD-94
C155,Malignant neoplasm of lower third of esophagus,cancer,Non CNS Cancer,CCS 2015 -> ICD-95
C158,Malignant neoplasm of overlapping sites of esophagus,cancer,Non CNS Cancer,CCS 2015 -> ICD-96
C159,"Malignant neoplasm of esophagus, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-97
C160,Malignant neoplasm of cardia,cancer,Non CNS Cancer,CCS 2015 -> ICD-98
C161,Malignant neoplasm of fundus of stomach,cancer,Non CNS Cancer,CCS 2015 -> ICD-99
C162,Malignant neoplasm of body of stomach,cancer,Non CNS Cancer,CCS 2015 -> ICD-100
C163,Malignant neoplasm of pyloric antrum,cancer,Non CNS Cancer,CCS 2015 -> ICD-101
C164,Malignant neoplasm of pylorus,cancer,Non CNS Cancer,CCS 2015 -> ICD-102
C165,"Malignant neoplasm of lesser curvature of stomach, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-103
C166,"Malignant neoplasm of greater curvature of stomach, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-104
C168,Malignant neoplasm of overlapping sites of stomach,cancer,Non CNS Cancer,CCS 2015 -> ICD-105
C168,Malignant neoplasm of overlapping sites of stomach,cancer,Non CNS Cancer,CCS 2015 -> ICD-106
C169,"Malignant neoplasm of stomach, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-107
C169,"Malignant neoplasm of stomach, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-108
C170,Malignant neoplasm of duodenum,cancer,Non CNS Cancer,CCS 2015 -> ICD-109
C171,Malignant neoplasm of jejunum,cancer,Non CNS Cancer,CCS 2015 -> ICD-110
C172,Malignant neoplasm of ileum,cancer,Non CNS Cancer,CCS 2015 -> ICD-111
C173,"Meckel's diverticulum, malignant",cancer,Non CNS Cancer,CCS 2015 -> ICD-112
C178,Malignant neoplasm of overlapping sites of small intestine,cancer,Non CNS Cancer,CCS 2015 -> ICD-113
C179,"Malignant neoplasm of small intestine, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-114
C180,Malignant neoplasm of cecum,cancer,Non CNS Cancer,CCS 2015 -> ICD-115
C181,Malignant neoplasm of appendix,cancer,Non CNS Cancer,CCS 2015 -> ICD-116
C182,Malignant neoplasm of ascending colon,cancer,Non CNS Cancer,CCS 2015 -> ICD-117
C183,Malignant neoplasm of hepatic flexure,cancer,Non CNS Cancer,CCS 2015 -> ICD-118
C184,Malignant neoplasm of transverse colon,cancer,Non CNS Cancer,CCS 2015 -> ICD-119
C185,Malignant neoplasm of splenic flexure,cancer,Non CNS Cancer,CCS 2015 -> ICD-120
C186,Malignant neoplasm of descending colon,cancer,Non CNS Cancer,CCS 2015 -> ICD-121
C187,Malignant neoplasm of sigmoid colon,cancer,Non CNS Cancer,CCS 2015 -> ICD-122
C188,Malignant neoplasm of overlapping sites of colon,cancer,Non CNS Cancer,CCS 2015 -> ICD-123
C189,"Malignant neoplasm of colon, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-124
C19,Malignant neoplasm of rectosigmoid junction,cancer,Non CNS Cancer,CCS 2015 -> ICD-125
C20,Malignant neoplasm of rectum,cancer,Non CNS Cancer,CCS 2015 -> ICD-126
C210,"Malignant neoplasm of anus, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-127
C211,Malignant neoplasm of anal canal,cancer,Non CNS Cancer,CCS 2015 -> ICD-128
C218,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",cancer,Non CNS Cancer,CCS 2015 -> ICD-129
C220,Liver cell carcinoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-130
C221,Intrahepatic bile duct carcinoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-131
C222,Hepatoblastoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-132
C227,Other specified carcinomas of liver,cancer,Non CNS Cancer,CCS 2015 -> ICD-133
C228,"Malignant neoplasm of liver, primary, unspecified as to type",cancer,Non CNS Cancer,CCS 2015 -> ICD-134
C229,"Malignant neoplasm of liver, not specified as primary or secondary",cancer,Non CNS Cancer,CCS 2015 -> ICD-135
C23,Malignant neoplasm of gallbladder,cancer,Non CNS Cancer,CCS 2015 -> ICD-136
C240,Malignant neoplasm of extrahepatic bile duct,cancer,Non CNS Cancer,CCS 2015 -> ICD-137
C241,Malignant neoplasm of ampulla of Vater,cancer,Non CNS Cancer,CCS 2015 -> ICD-138
C248,Malignant neoplasm of overlapping sites of biliary tract,cancer,Non CNS Cancer,CCS 2015 -> ICD-139
C249,"Malignant neoplasm of biliary tract, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-140
C250,Malignant neoplasm of head of pancreas,cancer,Non CNS Cancer,CCS 2015 -> ICD-141
C251,Malignant neoplasm of body of pancreas,cancer,Non CNS Cancer,CCS 2015 -> ICD-142
C252,Malignant neoplasm of tail of pancreas,cancer,Non CNS Cancer,CCS 2015 -> ICD-143
C253,Malignant neoplasm of pancreatic duct,cancer,Non CNS Cancer,CCS 2015 -> ICD-144
C254,Malignant neoplasm of endocrine pancreas,cancer,Non CNS Cancer,CCS 2015 -> ICD-145
C257,Malignant neoplasm of other parts of pancreas,cancer,Non CNS Cancer,CCS 2015 -> ICD-146
C258,Malignant neoplasm of overlapping sites of pancreas,cancer,Non CNS Cancer,CCS 2015 -> ICD-147
C259,"Malignant neoplasm of pancreas, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-148
C260,"Malignant neoplasm of intestinal tract, part unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-149
C261,Malignant neoplasm of spleen,cancer,Non CNS Cancer,CCS 2015 -> ICD-150
C269,Malignant neoplasm of ill-defined sites within the digestive system,cancer,Non CNS Cancer,CCS 2015 -> ICD-151
C269,Malignant neoplasm of ill-defined sites within the digestive system,cancer,Non CNS Cancer,CCS 2015 -> ICD-152
C300,Malignant neoplasm of nasal cavity,cancer,Non CNS Cancer,CCS 2015 -> ICD-153
C301,Malignant neoplasm of middle ear,cancer,Non CNS Cancer,CCS 2015 -> ICD-154
C310,Malignant neoplasm of maxillary sinus,cancer,Non CNS Cancer,CCS 2015 -> ICD-155
C311,Malignant neoplasm of ethmoidal sinus,cancer,Non CNS Cancer,CCS 2015 -> ICD-156
C312,Malignant neoplasm of frontal sinus,cancer,Non CNS Cancer,CCS 2015 -> ICD-157
C313,Malignant neoplasm of sphenoid sinus,cancer,Non CNS Cancer,CCS 2015 -> ICD-158
C318,Malignant neoplasm of overlapping sites of accessory sinuses,cancer,Non CNS Cancer,CCS 2015 -> ICD-159
C319,"Malignant neoplasm of accessory sinus, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-160
C320,Malignant neoplasm of glottis,cancer,Non CNS Cancer,CCS 2015 -> ICD-161
C321,Malignant neoplasm of supraglottis,cancer,Non CNS Cancer,CCS 2015 -> ICD-162
C322,Malignant neoplasm of subglottis,cancer,Non CNS Cancer,CCS 2015 -> ICD-163
C323,Malignant neoplasm of laryngeal cartilage,cancer,Non CNS Cancer,CCS 2015 -> ICD-164
C328,Malignant neoplasm of overlapping sites of larynx,cancer,Non CNS Cancer,CCS 2015 -> ICD-165
C329,"Malignant neoplasm of larynx, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-166
C33,Malignant neoplasm of trachea,cancer,Non CNS Cancer,CCS 2015 -> ICD-167
C3400,Malignant neoplasm of unspecified main bronchus,cancer,Non CNS Cancer,CCS 2015 -> ICD-168
C3410,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",cancer,Non CNS Cancer,CCS 2015 -> ICD-169
C342,"Malignant neoplasm of middle lobe, bronchus or lung",cancer,Non CNS Cancer,CCS 2015 -> ICD-170
C3430,"Malignant neoplasm of lower lobe, unspecified bronchus or lung",cancer,Non CNS Cancer,CCS 2015 -> ICD-171
C3480,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,cancer,Non CNS Cancer,CCS 2015 -> ICD-172
C3490,Malignant neoplasm of unspecified part of unspecified bronchus or lung,cancer,Non CNS Cancer,CCS 2015 -> ICD-173
C384,Malignant neoplasm of pleura,cancer,Non CNS Cancer,CCS 2015 -> ICD-174
C384,Malignant neoplasm of pleura,cancer,Non CNS Cancer,CCS 2015 -> ICD-175
C384,Malignant neoplasm of pleura,cancer,Non CNS Cancer,CCS 2015 -> ICD-176
C384,Malignant neoplasm of pleura,cancer,Non CNS Cancer,CCS 2015 -> ICD-177
C390,"Malignant neoplasm of upper respiratory tract, part unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-178
C399,"Malignant neoplasm of lower respiratory tract, part unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-179
C399,"Malignant neoplasm of lower respiratory tract, part unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-180
C4000,Malignant neoplasm of scapula and long bones of unspecified upper limb,cancer,Non CNS Cancer,CCS 2015 -> ICD-181
C4010,Malignant neoplasm of short bones of unspecified upper limb,cancer,Non CNS Cancer,CCS 2015 -> ICD-182
C4020,Malignant neoplasm of long bones of unspecified lower limb,cancer,Non CNS Cancer,CCS 2015 -> ICD-183
C4030,Malignant neoplasm of short bones of unspecified lower limb,cancer,Non CNS Cancer,CCS 2015 -> ICD-184
C410,Malignant neoplasm of bones of skull and face,cancer,Non CNS Cancer,CCS 2015 -> ICD-185
C411,Malignant neoplasm of mandible,cancer,Non CNS Cancer,CCS 2015 -> ICD-186
C412,Malignant neoplasm of vertebral column,cancer,Non CNS Cancer,CCS 2015 -> ICD-187
C413,"Malignant neoplasm of ribs, sternum and clavicle",cancer,Non CNS Cancer,CCS 2015 -> ICD-188
C414,"Malignant neoplasm of pelvic bones, sacrum and coccyx",cancer,Non CNS Cancer,CCS 2015 -> ICD-189
C419,"Malignant neoplasm of bone and articular cartilage, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-190
C430,Malignant melanoma of lip,cancer,Non CNS Cancer,CCS 2015 -> ICD-191
C4310,"Malignant melanoma of unspecified eyelid, including canthus",cancer,Non CNS Cancer,CCS 2015 -> ICD-192
C4320,Malignant melanoma of unspecified ear and external auricular canal,cancer,Non CNS Cancer,CCS 2015 -> ICD-193
C4330,Malignant melanoma of unspecified part of face,cancer,Non CNS Cancer,CCS 2015 -> ICD-194
C4331,Malignant melanoma of nose,cancer,Non CNS Cancer,CCS 2015 -> ICD-195
C4339,Malignant melanoma of other parts of face,cancer,Non CNS Cancer,CCS 2015 -> ICD-196
C434,Malignant melanoma of scalp and neck,cancer,Non CNS Cancer,CCS 2015 -> ICD-197
C4359,Malignant melanoma of other part of trunk,cancer,Non CNS Cancer,CCS 2015 -> ICD-198
C4360,"Malignant melanoma of unspecified upper limb, including shoulder",cancer,Non CNS Cancer,CCS 2015 -> ICD-199
C4370,"Malignant melanoma of unspecified lower limb, including hip",cancer,Non CNS Cancer,CCS 2015 -> ICD-200
C438,Malignant melanoma of overlapping sites of skin,cancer,Non CNS Cancer,CCS 2015 -> ICD-201
C439,"Malignant melanoma of skin, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-202
C4400,Unspecified malignant neoplasm of skin of lip,cancer,Non CNS Cancer,CCS 2015 -> ICD-203
C4401,Basal cell carcinoma of skin of lip,cancer,Non CNS Cancer,CCS 2015 -> ICD-204
C4402,Squamous cell carcinoma of skin of lip,cancer,Non CNS Cancer,CCS 2015 -> ICD-205
C4409,Other specified malignant neoplasm of skin of lip,cancer,Non CNS Cancer,CCS 2015 -> ICD-206
C44101,"Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus",cancer,Non CNS Cancer,CCS 2015 -> ICD-207
C44111,"Basal cell carcinoma of skin of unspecified eyelid, including canthus",cancer,Non CNS Cancer,CCS 2015 -> ICD-208
C44121,"Squamous cell carcinoma of skin of unspecified eyelid, including canthus",cancer,Non CNS Cancer,CCS 2015 -> ICD-209
C44191,"Other specified malignant neoplasm of skin of unspecified eyelid, including canthus",cancer,Non CNS Cancer,CCS 2015 -> ICD-210
C44201,Unspecified malignant neoplasm of skin of unspecified ear and external auricular canal,cancer,Non CNS Cancer,CCS 2015 -> ICD-211
C44211,Basal cell carcinoma of skin of unspecified ear and external auricular canal,cancer,Non CNS Cancer,CCS 2015 -> ICD-212
C44221,Squamous cell carcinoma of skin of unspecified ear and external auricular canal,cancer,Non CNS Cancer,CCS 2015 -> ICD-213
C44291,Other specified malignant neoplasm of skin of unspecified ear and external auricular canal,cancer,Non CNS Cancer,CCS 2015 -> ICD-214
C44300,Unspecified malignant neoplasm of skin of unspecified part of face,cancer,Non CNS Cancer,CCS 2015 -> ICD-215
C44301,Unspecified malignant neoplasm of skin of nose,cancer,Non CNS Cancer,CCS 2015 -> ICD-216
C44309,Unspecified malignant neoplasm of skin of other parts of face,cancer,Non CNS Cancer,CCS 2015 -> ICD-217
C44310,Basal cell carcinoma of skin of unspecified parts of face,cancer,Non CNS Cancer,CCS 2015 -> ICD-218
C44311,Basal cell carcinoma of skin of nose,cancer,Non CNS Cancer,CCS 2015 -> ICD-219
C44319,Basal cell carcinoma of skin of other parts of face,cancer,Non CNS Cancer,CCS 2015 -> ICD-220
C44320,Squamous cell carcinoma of skin of unspecified parts of face,cancer,Non CNS Cancer,CCS 2015 -> ICD-221
C44321,Squamous cell carcinoma of skin of nose,cancer,Non CNS Cancer,CCS 2015 -> ICD-222
C44329,Squamous cell carcinoma of skin of other parts of face,cancer,Non CNS Cancer,CCS 2015 -> ICD-223
C44390,Other specified malignant neoplasm of skin of unspecified parts of face,cancer,Non CNS Cancer,CCS 2015 -> ICD-224
C44391,Other specified malignant neoplasm of skin of nose,cancer,Non CNS Cancer,CCS 2015 -> ICD-225
C44399,Other specified malignant neoplasm of skin of other parts of face,cancer,Non CNS Cancer,CCS 2015 -> ICD-226
C4440,Unspecified malignant neoplasm of skin of scalp and neck,cancer,Non CNS Cancer,CCS 2015 -> ICD-227
C4441,Basal cell carcinoma of skin of scalp and neck,cancer,Non CNS Cancer,CCS 2015 -> ICD-228
C4442,Squamous cell carcinoma of skin of scalp and neck,cancer,Non CNS Cancer,CCS 2015 -> ICD-229
C4449,Other specified malignant neoplasm of skin of scalp and neck,cancer,Non CNS Cancer,CCS 2015 -> ICD-230
C44500,Unspecified malignant neoplasm of anal skin,cancer,Non CNS Cancer,CCS 2015 -> ICD-231
C44501,Unspecified malignant neoplasm of skin of breast,cancer,Non CNS Cancer,CCS 2015 -> ICD-232
C44509,Unspecified malignant neoplasm of skin of other part of trunk,cancer,Non CNS Cancer,CCS 2015 -> ICD-233
C44510,Basal cell carcinoma of anal skin,cancer,Non CNS Cancer,CCS 2015 -> ICD-234
C44511,Basal cell carcinoma of skin of breast,cancer,Non CNS Cancer,CCS 2015 -> ICD-235
C44519,Basal cell carcinoma of skin of other part of trunk,cancer,Non CNS Cancer,CCS 2015 -> ICD-236
C44520,Squamous cell carcinoma of anal skin,cancer,Non CNS Cancer,CCS 2015 -> ICD-237
C44521,Squamous cell carcinoma of skin of breast,cancer,Non CNS Cancer,CCS 2015 -> ICD-238
C44529,Squamous cell carcinoma of skin of other part of trunk,cancer,Non CNS Cancer,CCS 2015 -> ICD-239
C44590,Other specified malignant neoplasm of anal skin,cancer,Non CNS Cancer,CCS 2015 -> ICD-240
C44591,Other specified malignant neoplasm of skin of breast,cancer,Non CNS Cancer,CCS 2015 -> ICD-241
C44599,Other specified malignant neoplasm of skin of other part of trunk,cancer,Non CNS Cancer,CCS 2015 -> ICD-242
C44601,"Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder",cancer,Non CNS Cancer,CCS 2015 -> ICD-243
C44611,"Basal cell carcinoma of skin of unspecified upper limb, including shoulder",cancer,Non CNS Cancer,CCS 2015 -> ICD-244
C44621,"Squamous cell carcinoma of skin of unspecified upper limb, including shoulder",cancer,Non CNS Cancer,CCS 2015 -> ICD-245
C44691,"Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder",cancer,Non CNS Cancer,CCS 2015 -> ICD-246
C44701,"Unspecified malignant neoplasm of skin of unspecified lower limb, including hip",cancer,Non CNS Cancer,CCS 2015 -> ICD-247
C44711,"Basal cell carcinoma of skin of unspecified lower limb, including hip",cancer,Non CNS Cancer,CCS 2015 -> ICD-248
C44721,"Squamous cell carcinoma of skin of unspecified lower limb, including hip",cancer,Non CNS Cancer,CCS 2015 -> ICD-249
C44791,"Other specified malignant neoplasm of skin of unspecified lower limb, including hip",cancer,Non CNS Cancer,CCS 2015 -> ICD-250
C4480,Unspecified malignant neoplasm of overlapping sites of skin,cancer,Non CNS Cancer,CCS 2015 -> ICD-251
C4481,Basal cell carcinoma of overlapping sites of skin,cancer,Non CNS Cancer,CCS 2015 -> ICD-252
C4482,Squamous cell carcinoma of overlapping sites of skin,cancer,Non CNS Cancer,CCS 2015 -> ICD-253
C4489,Other specified malignant neoplasm of overlapping sites of skin,cancer,Non CNS Cancer,CCS 2015 -> ICD-254
C4490,"Unspecified malignant neoplasm of skin, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-255
C4491,"Basal cell carcinoma of skin, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-256
C4492,"Squamous cell carcinoma of skin, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-257
C4499,"Other specified malignant neoplasm of skin, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-258
C478,Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system,cancer,Non CNS Cancer,CCS 2015 -> ICD-259
C480,Malignant neoplasm of retroperitoneum,cancer,Non CNS Cancer,CCS 2015 -> ICD-260
C481,Malignant neoplasm of specified parts of peritoneum,cancer,Non CNS Cancer,CCS 2015 -> ICD-261
C482,"Malignant neoplasm of peritoneum, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-262
C488,Malignant neoplasm of overlapping sites of retroperitoneum and peritoneum,cancer,Non CNS Cancer,CCS 2015 -> ICD-263
C490,"Malignant neoplasm of connective and soft tissue of head, face and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-264
C4910,"Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder",cancer,Non CNS Cancer,CCS 2015 -> ICD-265
C4920,"Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip",cancer,Non CNS Cancer,CCS 2015 -> ICD-266
C493,Malignant neoplasm of connective and soft tissue of thorax,cancer,Non CNS Cancer,CCS 2015 -> ICD-267
C494,Malignant neoplasm of connective and soft tissue of abdomen,cancer,Non CNS Cancer,CCS 2015 -> ICD-268
C495,Malignant neoplasm of connective and soft tissue of pelvis,cancer,Non CNS Cancer,CCS 2015 -> ICD-269
C496,"Malignant neoplasm of connective and soft tissue of trunk, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-270
